Reporting level,Province,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,New Brunswick,,Colorectal Cancer Surgery,Volume,2012,Number of cases,
Provincial,New Brunswick,,CT Scan,50th Percentile,2012,Days,
Provincial,New Brunswick,,CT Scan,90th Percentile,2012,Days,
Provincial,New Brunswick,,CT Scan,Volume,2012,Number of cases,
Provincial,New Brunswick,,Hip Fracture Repair,% Meeting Benchmark,2012,Proportion,80.0
Provincial,New Brunswick,,Hip Fracture Repair,50th Percentile,2012,Hours,19.0
Provincial,New Brunswick,,Hip Fracture Repair,90th Percentile,2012,Hours,72.0
Provincial,New Brunswick,,Hip Fracture Repair,Volume,2012,Number of cases,343.0
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2012,Proportion,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2012,Hours,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2012,Hours,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,Volume,2012,Number of cases,
Provincial,New Brunswick,,Hip Replacement,% Meeting Benchmark,2012,Proportion,72.0
Provincial,New Brunswick,,Hip Replacement,50th Percentile,2012,Days,112.0
Provincial,New Brunswick,,Hip Replacement,90th Percentile,2012,Days,290.0
Provincial,New Brunswick,,Hip Replacement,Volume,2012,Number of cases,369.0
Provincial,New Brunswick,,Knee Replacement,% Meeting Benchmark,2012,Proportion,61.0
Provincial,New Brunswick,,Knee Replacement,50th Percentile,2012,Days,143.0
Provincial,New Brunswick,,Knee Replacement,90th Percentile,2012,Days,340.0
Provincial,New Brunswick,,Knee Replacement,Volume,2012,Number of cases,665.0
Provincial,New Brunswick,,Lung Cancer Surgery,50th Percentile,2012,Days,
Provincial,New Brunswick,,Lung Cancer Surgery,90th Percentile,2012,Days,
Provincial,New Brunswick,,Lung Cancer Surgery,Volume,2012,Number of cases,
Provincial,New Brunswick,,MRI Scan,50th Percentile,2012,Days,
Provincial,New Brunswick,,MRI Scan,90th Percentile,2012,Days,
Provincial,New Brunswick,,MRI Scan,Volume,2012,Number of cases,
Provincial,New Brunswick,,Prostate Cancer Surgery,50th Percentile,2012,Days,
Provincial,New Brunswick,,Prostate Cancer Surgery,90th Percentile,2012,Days,
Provincial,New Brunswick,,Prostate Cancer Surgery,Volume,2012,Number of cases,
Provincial,New Brunswick,,Radiation Therapy,% Meeting Benchmark,2012,Proportion,94.0
Provincial,New Brunswick,,Radiation Therapy,50th Percentile,2012,Days,7.0
Provincial,New Brunswick,,Radiation Therapy,90th Percentile,2012,Days,24.0
Provincial,New Brunswick,,Radiation Therapy,Volume,2012,Number of cases,1023.0
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,50th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,90th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,Volume,2012,Number of cases,
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,50th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,90th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,Volume,2012,Number of cases,
Provincial,Newfoundland and Labrador,,CABG,50th Percentile,2012,Days,6.0
Provincial,Newfoundland and Labrador,,CABG,90th Percentile,2012,Days,69.0
Provincial,Newfoundland and Labrador,,CABG,Volume,2012,Number of cases,156.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,% Meeting Benchmark,2012,Proportion,82.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,50th Percentile,2012,Days,52.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,90th Percentile,2012,Days,149.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,Volume,2012,Number of cases,2484.0
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,50th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,90th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,Volume,2012,Number of cases,
Provincial,Newfoundland and Labrador,,CT Scan,50th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,CT Scan,90th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,CT Scan,Volume,2012,Number of cases,25692.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,% Meeting Benchmark,2012,Proportion,81.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,50th Percentile,2012,Hours,26.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,90th Percentile,2012,Hours,62.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,Volume,2012,Number of cases,182.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2012,Proportion,88.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2012,Hours,30.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2012,Hours,49.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,Volume,2012,Number of cases,210.0
Provincial,Newfoundland and Labrador,,Hip Replacement,% Meeting Benchmark,2012,Proportion,83.0
Provincial,Newfoundland and Labrador,,Hip Replacement,50th Percentile,2012,Days,89.0
Provincial,Newfoundland and Labrador,,Hip Replacement,90th Percentile,2012,Days,260.0
Provincial,Newfoundland and Labrador,,Hip Replacement,Volume,2012,Number of cases,195.0
Provincial,Newfoundland and Labrador,,Knee Replacement,% Meeting Benchmark,2012,Proportion,81.0
Provincial,Newfoundland and Labrador,,Knee Replacement,50th Percentile,2012,Days,105.0
Provincial,Newfoundland and Labrador,,Knee Replacement,90th Percentile,2012,Days,250.0
Provincial,Newfoundland and Labrador,,Knee Replacement,Volume,2012,Number of cases,438.0
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,50th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,90th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,Volume,2012,Number of cases,
Provincial,Newfoundland and Labrador,,MRI Scan,50th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,MRI Scan,90th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,MRI Scan,Volume,2012,Number of cases,8054.0
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,50th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,90th Percentile,2012,Days,
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,Volume,2012,Number of cases,
Provincial,Newfoundland and Labrador,,Radiation Therapy,% Meeting Benchmark,2012,Proportion,98.0
Provincial,Newfoundland and Labrador,,Radiation Therapy,50th Percentile,2012,Days,8.0
Provincial,Newfoundland and Labrador,,Radiation Therapy,90th Percentile,2012,Days,19.0
Provincial,Newfoundland and Labrador,,Radiation Therapy,Volume,2012,Number of cases,410.0
Provincial,Nova Scotia,,Bladder Cancer Surgery,50th Percentile,2012,Days,
Provincial,Nova Scotia,,Bladder Cancer Surgery,90th Percentile,2012,Days,
Provincial,Nova Scotia,,Bladder Cancer Surgery,Volume,2012,Number of cases,
Provincial,Nova Scotia,,Breast Cancer Surgery,50th Percentile,2012,Days,
Provincial,Nova Scotia,,Breast Cancer Surgery,90th Percentile,2012,Days,
Provincial,Nova Scotia,,Breast Cancer Surgery,Volume,2012,Number of cases,
Provincial,Nova Scotia,,CABG,50th Percentile,2012,Days,5.0
Provincial,Nova Scotia,,CABG,90th Percentile,2012,Days,58.0
Provincial,Nova Scotia,,CABG,Volume,2012,Number of cases,206.0
Provincial,Nova Scotia,,Cataract Surgery,% Meeting Benchmark,2012,Proportion,58.0
Provincial,Nova Scotia,,Cataract Surgery,50th Percentile,2012,Days,102.0
Provincial,Nova Scotia,,Cataract Surgery,90th Percentile,2012,Days,293.0
Provincial,Nova Scotia,,Cataract Surgery,Volume,2012,Number of cases,3809.0
Provincial,Nova Scotia,,Colorectal Cancer Surgery,50th Percentile,2012,Days,
Provincial,Nova Scotia,,Colorectal Cancer Surgery,90th Percentile,2012,Days,
Provincial,Nova Scotia,,Colorectal Cancer Surgery,Volume,2012,Number of cases,
Provincial,Nova Scotia,,CT Scan,50th Percentile,2012,Days,17.0
Provincial,Nova Scotia,,CT Scan,90th Percentile,2012,Days,66.0
Provincial,Nova Scotia,,CT Scan,Volume,2012,Number of cases,50988.0
Provincial,Nova Scotia,,Hip Fracture Repair,% Meeting Benchmark,2012,Proportion,76.0
Provincial,Nova Scotia,,Hip Fracture Repair,50th Percentile,2012,Hours,24.0
Provincial,Nova Scotia,,Hip Fracture Repair,90th Percentile,2012,Hours,77.0
Provincial,Nova Scotia,,Hip Fracture Repair,Volume,2012,Number of cases,407.0
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2012,Proportion,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2012,Hours,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2012,Hours,
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,Volume,2012,Number of cases,
Provincial,Nova Scotia,,Hip Replacement,% Meeting Benchmark,2012,Proportion,47.0
Provincial,Nova Scotia,,Hip Replacement,50th Percentile,2012,Days,197.0
Provincial,Nova Scotia,,Hip Replacement,90th Percentile,2012,Days,547.0
Provincial,Nova Scotia,,Hip Replacement,Volume,2012,Number of cases,456.0
Provincial,Nova Scotia,,Knee Replacement,% Meeting Benchmark,2012,Proportion,33.0
Provincial,Nova Scotia,,Knee Replacement,50th Percentile,2012,Days,302.0
Provincial,Nova Scotia,,Knee Replacement,90th Percentile,2012,Days,598.0
Provincial,Nova Scotia,,Knee Replacement,Volume,2012,Number of cases,761.0
Provincial,Nova Scotia,,Lung Cancer Surgery,50th Percentile,2012,Days,
Provincial,Nova Scotia,,Lung Cancer Surgery,90th Percentile,2012,Days,
Provincial,Nova Scotia,,Lung Cancer Surgery,Volume,2012,Number of cases,
Provincial,Nova Scotia,,MRI Scan,50th Percentile,2012,Days,61.0
Provincial,Nova Scotia,,MRI Scan,90th Percentile,2012,Days,146.0
Provincial,Nova Scotia,,MRI Scan,Volume,2012,Number of cases,15602.0
Provincial,Nova Scotia,,Prostate Cancer Surgery,50th Percentile,2012,Days,
Provincial,Nova Scotia,,Prostate Cancer Surgery,90th Percentile,2012,Days,
Provincial,Nova Scotia,,Prostate Cancer Surgery,Volume,2012,Number of cases,
Provincial,Nova Scotia,,Radiation Therapy,% Meeting Benchmark,2012,Proportion,89.0
Provincial,Nova Scotia,,Radiation Therapy,50th Percentile,2012,Days,9.0
Provincial,Nova Scotia,,Radiation Therapy,90th Percentile,2012,Days,29.0
Provincial,Nova Scotia,,Radiation Therapy,Volume,2012,Number of cases,1396.0
Provincial,Ontario,,Bladder Cancer Surgery,50th Percentile,2012,Days,
Provincial,Ontario,,Bladder Cancer Surgery,90th Percentile,2012,Days,
Provincial,Ontario,,Bladder Cancer Surgery,Volume,2012,Number of cases,
Provincial,Ontario,,Breast Cancer Surgery,50th Percentile,2012,Days,
Provincial,Ontario,,Breast Cancer Surgery,90th Percentile,2012,Days,
Provincial,Ontario,,Breast Cancer Surgery,Volume,2012,Number of cases,
Provincial,Ontario,,CABG,50th Percentile,2012,Days,6.0
Provincial,Ontario,,CABG,90th Percentile,2012,Days,36.0
Provincial,Ontario,,CABG,Volume,2012,Number of cases,3273.0
Provincial,Ontario,,Cataract Surgery,% Meeting Benchmark,2012,Proportion,86.0
Provincial,Ontario,,Cataract Surgery,50th Percentile,2012,Days,46.0
Provincial,Ontario,,Cataract Surgery,90th Percentile,2012,Days,128.0
Provincial,Ontario,,Cataract Surgery,Volume,2012,Number of cases,67349.0
Provincial,Ontario,,Colorectal Cancer Surgery,50th Percentile,2012,Days,
Provincial,Ontario,,Colorectal Cancer Surgery,90th Percentile,2012,Days,
Provincial,Ontario,,Colorectal Cancer Surgery,Volume,2012,Number of cases,
Provincial,Ontario,,CT Scan,50th Percentile,2012,Days,6.0
Provincial,Ontario,,CT Scan,90th Percentile,2012,Days,32.0
Provincial,Ontario,,CT Scan,Volume,2012,Number of cases,337296.0
Provincial,Ontario,,Hip Fracture Repair,% Meeting Benchmark,2012,Proportion,82.0
Provincial,Ontario,,Hip Fracture Repair,50th Percentile,2012,Hours,25.0
Provincial,Ontario,,Hip Fracture Repair,90th Percentile,2012,Hours,64.0
Provincial,Ontario,,Hip Fracture Repair,Volume,2012,Number of cases,5231.0
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2012,Proportion,74.0
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2012,Hours,30.0
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2012,Hours,69.0
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,Volume,2012,Number of cases,4683.0
Provincial,Ontario,,Hip Replacement,% Meeting Benchmark,2012,Proportion,89.0
Provincial,Ontario,,Hip Replacement,50th Percentile,2012,Days,68.0
Provincial,Ontario,,Hip Replacement,90th Percentile,2012,Days,192.0
Provincial,Ontario,,Hip Replacement,Volume,2012,Number of cases,6256.0
Provincial,Ontario,,Knee Replacement,% Meeting Benchmark,2012,Proportion,84.0
Provincial,Ontario,,Knee Replacement,50th Percentile,2012,Days,76.0
Provincial,Ontario,,Knee Replacement,90th Percentile,2012,Days,226.0
Provincial,Ontario,,Knee Replacement,Volume,2012,Number of cases,11547.0
Provincial,Ontario,,Lung Cancer Surgery,50th Percentile,2012,Days,
Provincial,Ontario,,Lung Cancer Surgery,90th Percentile,2012,Days,
Provincial,Ontario,,Lung Cancer Surgery,Volume,2012,Number of cases,
Provincial,Ontario,,MRI Scan,50th Percentile,2012,Days,29.0
Provincial,Ontario,,MRI Scan,90th Percentile,2012,Days,86.0
Provincial,Ontario,,MRI Scan,Volume,2012,Number of cases,266893.0
Provincial,Ontario,,Prostate Cancer Surgery,50th Percentile,2012,Days,
Provincial,Ontario,,Prostate Cancer Surgery,90th Percentile,2012,Days,
Provincial,Ontario,,Prostate Cancer Surgery,Volume,2012,Number of cases,
Provincial,Ontario,,Radiation Therapy,% Meeting Benchmark,2012,Proportion,98.0
Provincial,Ontario,,Radiation Therapy,50th Percentile,2012,Days,7.0
Provincial,Ontario,,Radiation Therapy,90th Percentile,2012,Days,15.0
Provincial,Ontario,,Radiation Therapy,Volume,2012,Number of cases,14282.0
Provincial,Prince Edward Island,,Bladder Cancer Surgery,50th Percentile,2012,Days,
Provincial,Prince Edward Island,,Bladder Cancer Surgery,90th Percentile,2012,Days,
Provincial,Prince Edward Island,,Bladder Cancer Surgery,Volume,2012,Number of cases,
Provincial,Prince Edward Island,,Breast Cancer Surgery,50th Percentile,2012,Days,
Provincial,Prince Edward Island,,Breast Cancer Surgery,90th Percentile,2012,Days,
Provincial,Prince Edward Island,,Breast Cancer Surgery,Volume,2012,Number of cases,
Provincial,Prince Edward Island,,CABG,50th Percentile,2012,Days,
Provincial,Prince Edward Island,,CABG,90th Percentile,2012,Days,
Provincial,Prince Edward Island,,CABG,Volume,2012,Number of cases,
Provincial,Prince Edward Island,,Cataract Surgery,% Meeting Benchmark,2012,Proportion,63.2
Provincial,Prince Edward Island,,Cataract Surgery,50th Percentile,2012,Days,70.4
Provincial,Prince Edward Island,,Cataract Surgery,90th Percentile,2012,Days,217.5
Provincial,Prince Edward Island,,Cataract Surgery,Volume,2012,Number of cases,416.0
Provincial,Prince Edward Island,,Colorectal Cancer Surgery,50th Percentile,2012,Days,
Provincial,Prince Edward Island,,Colorectal Cancer Surgery,90th Percentile,2012,Days,
Provincial,Prince Edward Island,,Colorectal Cancer Surgery,Volume,2012,Number of cases,
Provincial,Prince Edward Island,,CT Scan,50th Percentile,2012,Days,15.0
Provincial,Prince Edward Island,,CT Scan,90th Percentile,2012,Days,34.0
Provincial,Prince Edward Island,,CT Scan,Volume,2012,Number of cases,3161.0
Provincial,Prince Edward Island,,Hip Fracture Repair,% Meeting Benchmark,2012,Proportion,73.0
Provincial,Prince Edward Island,,Hip Fracture Repair,50th Percentile,2012,Hours,21.0
Provincial,Prince Edward Island,,Hip Fracture Repair,90th Percentile,2012,Hours,60.0
Provincial,Prince Edward Island,,Hip Fracture Repair,Volume,2012,Number of cases,30.0
Provincial,Prince Edward Island,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2012,Proportion,
Provincial,Prince Edward Island,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2012,Hours,
Provincial,Prince Edward Island,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2012,Hours,
Provincial,Prince Edward Island,,Hip Fracture Repair/Emergency and Inpatient,Volume,2012,Number of cases,
Provincial,Prince Edward Island,,Hip Replacement,% Meeting Benchmark,2012,Proportion,52.0
Provincial,Prince Edward Island,,Hip Replacement,50th Percentile,2012,Days,173.0
Provincial,Prince Edward Island,,Hip Replacement,90th Percentile,2012,Days,313.0
Provincial,Prince Edward Island,,Hip Replacement,Volume,2012,Number of cases,84.0
Provincial,Prince Edward Island,,Knee Replacement,% Meeting Benchmark,2012,Proportion,35.0
Provincial,Prince Edward Island,,Knee Replacement,50th Percentile,2012,Days,225.0
Provincial,Prince Edward Island,,Knee Replacement,90th Percentile,2012,Days,362.0
Provincial,Prince Edward Island,,Knee Replacement,Volume,2012,Number of cases,147.0
Provincial,Prince Edward Island,,Lung Cancer Surgery,50th Percentile,2012,Days,
Provincial,Prince Edward Island,,Lung Cancer Surgery,90th Percentile,2012,Days,
Provincial,Prince Edward Island,,Lung Cancer Surgery,Volume,2012,Number of cases,
Provincial,Prince Edward Island,,MRI Scan,50th Percentile,2012,Days,41.0
Provincial,Prince Edward Island,,MRI Scan,90th Percentile,2012,Days,143.0
Provincial,Prince Edward Island,,MRI Scan,Volume,2012,Number of cases,2045.0
Provincial,Prince Edward Island,,Prostate Cancer Surgery,50th Percentile,2012,Days,
Provincial,Prince Edward Island,,Prostate Cancer Surgery,90th Percentile,2012,Days,
Provincial,Prince Edward Island,,Prostate Cancer Surgery,Volume,2012,Number of cases,
Provincial,Prince Edward Island,,Radiation Therapy,% Meeting Benchmark,2012,Proportion,99.0
Provincial,Prince Edward Island,,Radiation Therapy,50th Percentile,2012,Days,12.0
Provincial,Prince Edward Island,,Radiation Therapy,90th Percentile,2012,Days,22.0
Provincial,Prince Edward Island,,Radiation Therapy,Volume,2012,Number of cases,186.0
Provincial,Quebec,,Bladder Cancer Surgery,50th Percentile,2012,Days,
Provincial,Quebec,,Bladder Cancer Surgery,90th Percentile,2012,Days,
Provincial,Quebec,,Bladder Cancer Surgery,Volume,2012,Number of cases,
Provincial,Quebec,,Breast Cancer Surgery,50th Percentile,2012,Days,
Provincial,Quebec,,Breast Cancer Surgery,90th Percentile,2012,Days,
Provincial,Quebec,,Breast Cancer Surgery,Volume,2012,Number of cases,
Provincial,Quebec,,CABG,50th Percentile,2012,Days,
Provincial,Quebec,,CABG,90th Percentile,2012,Days,
Provincial,Quebec,,CABG,Volume,2012,Number of cases,2907.0
Provincial,Quebec,,Cataract Surgery,% Meeting Benchmark,2012,Proportion,88.0
Provincial,Quebec,,Cataract Surgery,50th Percentile,2012,Days,35.0
Provincial,Quebec,,Cataract Surgery,90th Percentile,2012,Days,123.0
Provincial,Quebec,,Cataract Surgery,Volume,2012,Number of cases,45731.0
Provincial,Quebec,,Colorectal Cancer Surgery,50th Percentile,2012,Days,
Provincial,Quebec,,Colorectal Cancer Surgery,90th Percentile,2012,Days,
Provincial,Quebec,,Colorectal Cancer Surgery,Volume,2012,Number of cases,
Provincial,Quebec,,CT Scan,50th Percentile,2012,Days,
Provincial,Quebec,,CT Scan,90th Percentile,2012,Days,
Provincial,Quebec,,CT Scan,Volume,2012,Number of cases,
Provincial,Quebec,,Hip Fracture Repair,% Meeting Benchmark,2012,Proportion,
Provincial,Quebec,,Hip Fracture Repair,50th Percentile,2012,Hours,
Provincial,Quebec,,Hip Fracture Repair,90th Percentile,2012,Hours,
Provincial,Quebec,,Hip Fracture Repair,Volume,2012,Number of cases,
Provincial,Quebec,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2012,Proportion,
Provincial,Quebec,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2012,Hours,
Provincial,Quebec,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2012,Hours,
Provincial,Quebec,,Hip Fracture Repair/Emergency and Inpatient,Volume,2012,Number of cases,
Provincial,Quebec,,Hip Replacement,% Meeting Benchmark,2012,Proportion,79.0
Provincial,Quebec,,Hip Replacement,50th Percentile,2012,Days,84.0
Provincial,Quebec,,Hip Replacement,90th Percentile,2012,Days,244.0
Provincial,Quebec,,Hip Replacement,Volume,2012,Number of cases,2873.0
Provincial,Quebec,,Knee Replacement,% Meeting Benchmark,2012,Proportion,76.0
Provincial,Quebec,,Knee Replacement,50th Percentile,2012,Days,102.0
Provincial,Quebec,,Knee Replacement,90th Percentile,2012,Days,253.0
Provincial,Quebec,,Knee Replacement,Volume,2012,Number of cases,4644.0
Provincial,Quebec,,Lung Cancer Surgery,50th Percentile,2012,Days,
Provincial,Quebec,,Lung Cancer Surgery,90th Percentile,2012,Days,
Provincial,Quebec,,Lung Cancer Surgery,Volume,2012,Number of cases,
Provincial,Quebec,,MRI Scan,50th Percentile,2012,Days,
Provincial,Quebec,,MRI Scan,90th Percentile,2012,Days,
Provincial,Quebec,,MRI Scan,Volume,2012,Number of cases,
Provincial,Quebec,,Prostate Cancer Surgery,50th Percentile,2012,Days,
Provincial,Quebec,,Prostate Cancer Surgery,90th Percentile,2012,Days,
Provincial,Quebec,,Prostate Cancer Surgery,Volume,2012,Number of cases,
Provincial,Quebec,,Radiation Therapy,% Meeting Benchmark,2012,Proportion,98.0
Provincial,Quebec,,Radiation Therapy,50th Percentile,2012,Days,
Provincial,Quebec,,Radiation Therapy,90th Percentile,2012,Days,
Provincial,Quebec,,Radiation Therapy,Volume,2012,Number of cases,11260.0
Provincial,Saskatchewan,,Bladder Cancer Surgery,50th Percentile,2012,Days,
Provincial,Saskatchewan,,Bladder Cancer Surgery,90th Percentile,2012,Days,
Provincial,Saskatchewan,,Bladder Cancer Surgery,Volume,2012,Number of cases,
Provincial,Saskatchewan,,Breast Cancer Surgery,50th Percentile,2012,Days,
Provincial,Saskatchewan,,Breast Cancer Surgery,90th Percentile,2012,Days,
Provincial,Saskatchewan,,Breast Cancer Surgery,Volume,2012,Number of cases,
Provincial,Saskatchewan,,CABG,50th Percentile,2012,Days,4.0
Provincial,Saskatchewan,,CABG,90th Percentile,2012,Days,19.0
Provincial,Saskatchewan,,CABG,Volume,2012,Number of cases,244.0
Provincial,Saskatchewan,,Cataract Surgery,% Meeting Benchmark,2012,Proportion,57.0
Provincial,Saskatchewan,,Cataract Surgery,50th Percentile,2012,Days,96.0
Provincial,Saskatchewan,,Cataract Surgery,90th Percentile,2012,Days,229.0
Provincial,Saskatchewan,,Cataract Surgery,Volume,2012,Number of cases,3109.0
Provincial,Saskatchewan,,Colorectal Cancer Surgery,50th Percentile,2012,Days,
Provincial,Saskatchewan,,Colorectal Cancer Surgery,90th Percentile,2012,Days,
Provincial,Saskatchewan,,Colorectal Cancer Surgery,Volume,2012,Number of cases,
Provincial,Saskatchewan,,CT Scan,50th Percentile,2012,Days,
Provincial,Saskatchewan,,CT Scan,90th Percentile,2012,Days,
Provincial,Saskatchewan,,CT Scan,Volume,2012,Number of cases,
Provincial,Saskatchewan,,Hip Fracture Repair,% Meeting Benchmark,2012,Proportion,79.0
Provincial,Saskatchewan,,Hip Fracture Repair,50th Percentile,2012,Hours,24.0
Provincial,Saskatchewan,,Hip Fracture Repair,90th Percentile,2012,Hours,74.0
Provincial,Saskatchewan,,Hip Fracture Repair,Volume,2012,Number of cases,337.0
Provincial,Saskatchewan,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2012,Proportion,
Provincial,Saskatchewan,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2012,Hours,
Provincial,Saskatchewan,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2012,Hours,
Provincial,Saskatchewan,,Hip Fracture Repair/Emergency and Inpatient,Volume,2012,Number of cases,
Provincial,Saskatchewan,,Hip Replacement,% Meeting Benchmark,2012,Proportion,69.0
Provincial,Saskatchewan,,Hip Replacement,50th Percentile,2012,Days,120.0
Provincial,Saskatchewan,,Hip Replacement,90th Percentile,2012,Days,366.0
Provincial,Saskatchewan,,Hip Replacement,Volume,2012,Number of cases,589.0
Provincial,Saskatchewan,,Knee Replacement,% Meeting Benchmark,2012,Proportion,55.0
Provincial,Saskatchewan,,Knee Replacement,50th Percentile,2012,Days,165.0
Provincial,Saskatchewan,,Knee Replacement,90th Percentile,2012,Days,420.0
Provincial,Saskatchewan,,Knee Replacement,Volume,2012,Number of cases,1061.0
Provincial,Saskatchewan,,Lung Cancer Surgery,50th Percentile,2012,Days,
Provincial,Saskatchewan,,Lung Cancer Surgery,90th Percentile,2012,Days,
Provincial,Saskatchewan,,Lung Cancer Surgery,Volume,2012,Number of cases,
Provincial,Saskatchewan,,MRI Scan,50th Percentile,2012,Days,
Provincial,Saskatchewan,,MRI Scan,90th Percentile,2012,Days,
Provincial,Saskatchewan,,MRI Scan,Volume,2012,Number of cases,
Provincial,Saskatchewan,,Prostate Cancer Surgery,50th Percentile,2012,Days,
Provincial,Saskatchewan,,Prostate Cancer Surgery,90th Percentile,2012,Days,
Provincial,Saskatchewan,,Prostate Cancer Surgery,Volume,2012,Number of cases,
Provincial,Saskatchewan,,Radiation Therapy,% Meeting Benchmark,2012,Proportion,98.0
Provincial,Saskatchewan,,Radiation Therapy,50th Percentile,2012,Days,4.0
Provincial,Saskatchewan,,Radiation Therapy,90th Percentile,2012,Days,15.0
Provincial,Saskatchewan,,Radiation Therapy,Volume,2012,Number of cases,992.0
Provincial,Alberta,,Bladder Cancer Surgery,50th Percentile,2013,Days,28.0
Provincial,Alberta,,Bladder Cancer Surgery,90th Percentile,2013,Days,57.0
Provincial,Alberta,,Bladder Cancer Surgery,Volume,2013,Number of cases,477.0
Provincial,Alberta,,Breast Cancer Surgery,50th Percentile,2013,Days,15.0
Provincial,Alberta,,Breast Cancer Surgery,90th Percentile,2013,Days,40.0
Provincial,Alberta,,Breast Cancer Surgery,Volume,2013,Number of cases,1169.0
Provincial,Alberta,,CABG,50th Percentile,2013,Days,12.0
Provincial,Alberta,,CABG,90th Percentile,2013,Days,101.0
Provincial,Alberta,,CABG,Volume,2013,Number of cases,465.0
Provincial,Alberta,,Cataract Surgery,% Meeting Benchmark,2013,Proportion,66.0
Provincial,Alberta,,Cataract Surgery,50th Percentile,2013,Days,79.0
Provincial,Alberta,,Cataract Surgery,90th Percentile,2013,Days,212.0
Provincial,Alberta,,Cataract Surgery,Volume,2013,Number of cases,10514.0
Provincial,Alberta,,Colorectal Cancer Surgery,50th Percentile,2013,Days,20.0
Provincial,Alberta,,Colorectal Cancer Surgery,90th Percentile,2013,Days,46.0
Provincial,Alberta,,Colorectal Cancer Surgery,Volume,2013,Number of cases,476.0
Provincial,Alberta,,CT Scan,50th Percentile,2013,Days,13.0
Provincial,Alberta,,CT Scan,90th Percentile,2013,Days,43.0
Provincial,Alberta,,CT Scan,Volume,2013,Number of cases,65318.0
Provincial,Alberta,,Hip Fracture Repair,% Meeting Benchmark,2013,Proportion,85.0
Provincial,Alberta,,Hip Fracture Repair,50th Percentile,2013,Hours,22.0
