Reporting level,Province,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,British Columbia,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,
Provincial,British Columbia,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,
Provincial,British Columbia,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,
Provincial,British Columbia,,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,
Provincial,British Columbia,,Hip Replacement,% Meeting Benchmark,2008,Proportion,78.0
Provincial,British Columbia,,Hip Replacement,50th Percentile,2008,Days,71.0
Provincial,British Columbia,,Hip Replacement,90th Percentile,2008,Days,279.0
Provincial,British Columbia,,Hip Replacement,Volume,2008,Number of cases,2192.0
Provincial,British Columbia,,Knee Replacement,% Meeting Benchmark,2008,Proportion,71.0
Provincial,British Columbia,,Knee Replacement,50th Percentile,2008,Days,102.0
Provincial,British Columbia,,Knee Replacement,90th Percentile,2008,Days,332.0
Provincial,British Columbia,,Knee Replacement,Volume,2008,Number of cases,3130.0
Provincial,British Columbia,,Lung Cancer Surgery,50th Percentile,2008,Days,
Provincial,British Columbia,,Lung Cancer Surgery,90th Percentile,2008,Days,
Provincial,British Columbia,,Lung Cancer Surgery,Volume,2008,Number of cases,
Provincial,British Columbia,,MRI Scan,50th Percentile,2008,Days,
Provincial,British Columbia,,MRI Scan,90th Percentile,2008,Days,
Provincial,British Columbia,,MRI Scan,Volume,2008,Number of cases,
Provincial,British Columbia,,Prostate Cancer Surgery,50th Percentile,2008,Days,
Provincial,British Columbia,,Prostate Cancer Surgery,90th Percentile,2008,Days,
Provincial,British Columbia,,Prostate Cancer Surgery,Volume,2008,Number of cases,
Provincial,British Columbia,,Radiation Therapy,% Meeting Benchmark,2008,Proportion,95.0
Provincial,British Columbia,,Radiation Therapy,50th Percentile,2008,Days,7.0
Provincial,British Columbia,,Radiation Therapy,90th Percentile,2008,Days,
Provincial,British Columbia,,Radiation Therapy,Volume,2008,Number of cases,
National,Canada,,Bladder Cancer Surgery,50th Percentile,2008,Days,
National,Canada,,Bladder Cancer Surgery,90th Percentile,2008,Days,
National,Canada,,Bladder Cancer Surgery,Volume,2008,Number of cases,
National,Canada,,Breast Cancer Surgery,50th Percentile,2008,Days,
National,Canada,,Breast Cancer Surgery,90th Percentile,2008,Days,
National,Canada,,Breast Cancer Surgery,Volume,2008,Number of cases,
National,Canada,,CABG,% Meeting Benchmark,2008,Proportion,
National,Canada,,CABG,50th Percentile,2008,Days,
National,Canada,,CABG,90th Percentile,2008,Days,
National,Canada,,CABG,Volume,2008,Number of cases,
National,Canada,,Cataract Surgery,% Meeting Benchmark,2008,Proportion,
National,Canada,,Cataract Surgery,50th Percentile,2008,Days,
National,Canada,,Cataract Surgery,90th Percentile,2008,Days,
National,Canada,,Cataract Surgery,Volume,2008,Number of cases,
National,Canada,,Colorectal Cancer Surgery,50th Percentile,2008,Days,
National,Canada,,Colorectal Cancer Surgery,90th Percentile,2008,Days,
National,Canada,,Colorectal Cancer Surgery,Volume,2008,Number of cases,
National,Canada,,CT Scan,50th Percentile,2008,Days,
National,Canada,,CT Scan,90th Percentile,2008,Days,
National,Canada,,CT Scan,Volume,2008,Number of cases,
National,Canada,,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,
National,Canada,,Hip Fracture Repair,50th Percentile,2008,Hours,
National,Canada,,Hip Fracture Repair,90th Percentile,2008,Hours,
National,Canada,,Hip Fracture Repair,Volume,2008,Number of cases,
National,Canada,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,
National,Canada,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,
National,Canada,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,
National,Canada,,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,
National,Canada,,Hip Replacement,% Meeting Benchmark,2008,Proportion,
National,Canada,,Hip Replacement,50th Percentile,2008,Days,
National,Canada,,Hip Replacement,90th Percentile,2008,Days,
National,Canada,,Hip Replacement,Volume,2008,Number of cases,
National,Canada,,Knee Replacement,% Meeting Benchmark,2008,Proportion,
National,Canada,,Knee Replacement,50th Percentile,2008,Days,
National,Canada,,Knee Replacement,90th Percentile,2008,Days,
National,Canada,,Knee Replacement,Volume,2008,Number of cases,
National,Canada,,Lung Cancer Surgery,50th Percentile,2008,Days,
National,Canada,,Lung Cancer Surgery,90th Percentile,2008,Days,
National,Canada,,Lung Cancer Surgery,Volume,2008,Number of cases,
National,Canada,,MRI Scan,50th Percentile,2008,Days,
National,Canada,,MRI Scan,90th Percentile,2008,Days,
National,Canada,,MRI Scan,Volume,2008,Number of cases,
National,Canada,,Prostate Cancer Surgery,50th Percentile,2008,Days,
National,Canada,,Prostate Cancer Surgery,90th Percentile,2008,Days,
National,Canada,,Prostate Cancer Surgery,Volume,2008,Number of cases,
National,Canada,,Radiation Therapy,% Meeting Benchmark,2008,Proportion,
National,Canada,,Radiation Therapy,50th Percentile,2008,Days,
National,Canada,,Radiation Therapy,90th Percentile,2008,Days,
National,Canada,,Radiation Therapy,Volume,2008,Number of cases,
Provincial,Manitoba,,Bladder Cancer Surgery,50th Percentile,2008,Days,
Provincial,Manitoba,,Bladder Cancer Surgery,90th Percentile,2008,Days,
Provincial,Manitoba,,Bladder Cancer Surgery,Volume,2008,Number of cases,
Provincial,Manitoba,,Breast Cancer Surgery,50th Percentile,2008,Days,
Provincial,Manitoba,,Breast Cancer Surgery,90th Percentile,2008,Days,
Provincial,Manitoba,,Breast Cancer Surgery,Volume,2008,Number of cases,
Provincial,Manitoba,,CABG,% Meeting Benchmark,2008,Proportion,96.0
Provincial,Manitoba,,CABG,50th Percentile,2008,Days,17.0
Provincial,Manitoba,,CABG,90th Percentile,2008,Days,119.0
Provincial,Manitoba,,CABG,Volume,2008,Number of cases,428.0
Provincial,Manitoba,,Cataract Surgery,% Meeting Benchmark,2008,Proportion,77.0
Provincial,Manitoba,,Cataract Surgery,50th Percentile,2008,Days,75.0
