FISCAL_YEAR,QUARTER,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_COMP_50TH,PERCENTILE_COMP_90TH
2025/26,Q1,All Health Authorities,All Facilities,Abdominoplasty,87,63,7.3,29
2025/26,Q1,All Health Authorities,All Facilities,All Other Procedures,2397,2441,4.7,21.9
2025/26,Q1,All Health Authorities,All Facilities,All Procedures,92717,76071,6,30.6
2025/26,Q1,All Health Authorities,All Facilities,Aortic Aneurysm Repair,57,134,3.3,11.1
2025/26,Q1,All Health Authorities,All Facilities,Appendectomy,72,100,6,16.2
2025/26,Q1,All Health Authorities,All Facilities,Bariatric Surgery,111,111,6.3,35.6
2025/26,Q1,All Health Authorities,All Facilities,Biopsy in OR,373,567,2.4,9.1
2025/26,Q1,All Health Authorities,All Facilities,Bladder Surgery,904,1382,4,15.5
2025/26,Q1,All Health Authorities,All Facilities,Bowel Resection,375,677,3,10.1
2025/26,Q1,All Health Authorities,All Facilities,Breast Biopsy,122,318,3,8
2025/26,Q1,All Health Authorities,All Facilities,Breast Reconstruction,395,350,4.4,35.2
2025/26,Q1,All Health Authorities,All Facilities,Breast Reduction,1776,691,10.1,49
2025/26,Q1,All Health Authorities,All Facilities,CSF Drainage,29,47,0.9,5.5
2025/26,Q1,All Health Authorities,All Facilities,Cataract Surgery,16815,21279,5,21.7
2025/26,Q1,All Health Authorities,All Facilities,Cholecystectomy,1267,1411,5.3,20.7
2025/26,Q1,All Health Authorities,All Facilities,Colostomy/Ileostomy,169,171,5.1,25.3
2025/26,Q1,All Health Authorities,All Facilities,Cone Biopsy,58,129,3.9,10.9
2025/26,Q1,All Health Authorities,All Facilities,Cranial Surgery,170,299,2.6,15.5
2025/26,Q1,All Health Authorities,All Facilities,Cyst/Ganglion Removal,307,253,6.9,25.5
2025/26,Q1,All Health Authorities,All Facilities,D&C and Related Surgery,1084,1448,4.3,16.3
2025/26,Q1,All Health Authorities,All Facilities,Dental Surgery,3589,2068,9,38.1
2025/26,Q1,All Health Authorities,All Facilities,Endarterectomy,86,200,2.3,6.3
2025/26,Q1,All Health Authorities,All Facilities,Esophagectomy,34,39,3.7,18.9
2025/26,Q1,All Health Authorities,All Facilities,Examination Under Anaesthetic,428,399,5.1,21.2
2025/26,Q1,All Health Authorities,All Facilities,Excision Gynecomastia,61,34,18.9,43.5
2025/26,Q1,All Health Authorities,All Facilities,Excision Lesion/Tumour,992,1041,4.9,18.1
2025/26,Q1,All Health Authorities,All Facilities,Facial Bone Reconstruction,317,201,10.4,39.6
2025/26,Q1,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1181,887,8.4,32.5
2025/26,Q1,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,100,86,6.7,34.5
2025/26,Q1,All Health Authorities,All Facilities,Foot/Ankle Surgery,476,189,18,49.1
2025/26,Q1,All Health Authorities,All Facilities,Foreign Body Removal Surgery,54,63,3.1,7.7
2025/26,Q1,All Health Authorities,All Facilities,Fracture Repair,202,493,0.9,8.5
2025/26,Q1,All Health Authorities,All Facilities,Free Flap Graft,57,62,3.6,26.3
2025/26,Q1,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,31,18,1.5,4.8
2025/26,Q1,All Health Authorities,All Facilities,Hand/Wrist Surgery,530,492,5,24.1
2025/26,Q1,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4516,3578,8.1,32.1
2025/26,Q1,All Health Authorities,All Facilities,Hernia Repair - Hiatal,205,114,13.4,33.1
2025/26,Q1,All Health Authorities,All Facilities,Hip Replacement,5067,2279,19,51.4
2025/26,Q1,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,547,795,4.1,12.9
2025/26,Q1,All Health Authorities,All Facilities,Knee - ACL Repair,1062,624,8,28
2025/26,Q1,All Health Authorities,All Facilities,Knee - Meniscectomy,590,451,8.4,30.9
2025/26,Q1,All Health Authorities,All Facilities,Knee Arthroscopy,872,627,7,25.6
2025/26,Q1,All Health Authorities,All Facilities,Knee Replacement,9703,3391,21.7,54.9
2025/26,Q1,All Health Authorities,All Facilities,Laparoscopy,223,221,4.6,22.4
2025/26,Q1,All Health Authorities,All Facilities,Laparotomy,52,47,2.7,19
2025/26,Q1,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,1336,1162,4.6,31.8
2025/26,Q1,All Health Authorities,All Facilities,Ligament Surgery,88,95,3.9,34.4
2025/26,Q1,All Health Authorities,All Facilities,Lipectomy,100,25,11.7,78.9
2025/26,Q1,All Health Authorities,All Facilities,Lung Surgery,80,209,2,14.6
2025/26,Q1,All Health Authorities,All Facilities,Male Reproductive Surgery,967,577,9.3,37.1
2025/26,Q1,All Health Authorities,All Facilities,Mastectomy,446,1212,2.9,6.1
2025/26,Q1,All Health Authorities,All Facilities,Mastoidectomy,155,67,13.1,54
2025/26,Q1,All Health Authorities,All Facilities,Myringotomy,437,313,7.9,27.2
2025/26,Q1,All Health Authorities,All Facilities,Nasal Surgery,3371,1043,22.1,55.8
2025/26,Q1,All Health Authorities,All Facilities,Nerve Surgery,358,283,5.3,21.1
2025/26,Q1,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,173,114,8.4,28.8
2025/26,Q1,All Health Authorities,All Facilities,Other Ear Surgery,275,85,10.3,56.4
2025/26,Q1,All Health Authorities,All Facilities,Other Eye Surgery,2116,1907,4.9,30.1
2025/26,Q1,All Health Authorities,All Facilities,Other Joint Reconstruction,1576,683,11,44.9
2025/26,Q1,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2299,1851,6.7,32
2025/26,Q1,All Health Authorities,All Facilities,Other Urology Surgery,1134,1551,4.4,17.4
2025/26,Q1,All Health Authorities,All Facilities,Parotidectomy,208,112,9.6,47.3
2025/26,Q1,All Health Authorities,All Facilities,Prostate Surgery,1669,1640,6,20.9
2025/26,Q1,All Health Authorities,All Facilities,Rectal Surgery,617,512,5.6,32.1
2025/26,Q1,All Health Authorities,All Facilities,Rib Resection,31,10,6.5,10.8
2025/26,Q1,All Health Authorities,All Facilities,Scope of Chest,97,121,4,9.7
2025/26,Q1,All Health Authorities,All Facilities,Shoulder Surgery,1986,941,10.9,43.6
2025/26,Q1,All Health Authorities,All Facilities,Shunt Insertion/Removal,<5,11,1.7,4.6
2025/26,Q1,All Health Authorities,All Facilities,Sinus Surgery,1690,518,18.9,62.6
2025/26,Q1,All Health Authorities,All Facilities,Skin Surgery,457,328,5.3,27.3
2025/26,Q1,All Health Authorities,All Facilities,Skin Tumour Removal,977,1266,3.7,26.8
2025/26,Q1,All Health Authorities,All Facilities,Sphincterotomy,18,19,7,42.3
2025/26,Q1,All Health Authorities,All Facilities,Spinal/Back Surgery,1648,1026,5,20.9
2025/26,Q1,All Health Authorities,All Facilities,Tendon Surgery,288,258,3.7,17.7
2025/26,Q1,All Health Authorities,All Facilities,Thoracotomy,29,45,3.1,25.5
2025/26,Q1,All Health Authorities,All Facilities,Thyroidectomy,394,334,5.1,27.1
2025/26,Q1,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,2126,952,14.3,51.1
2025/26,Q1,All Health Authorities,All Facilities,Tympanoplasty,531,183,18.6,64.6
2025/26,Q1,All Health Authorities,All Facilities,Uterine Surgery,4636,4444,7.1,29.9
2025/26,Q1,All Health Authorities,All Facilities,Vaginal Repair,686,397,10.6,42.3
2025/26,Q1,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1524,533,20.3,54.1
2025/26,Q1,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,65,135,3.1,8.7
2025/26,Q1,All Health Authorities,All Facilities,Vascular Surgery - Other,283,472,2,9.4
2025/26,Q1,All Health Authorities,All Facilities,Wound/Laceration Care,301,367,3.1,20.3
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Abdominoplasty,15,8,27.7,32.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,All Other Procedures,33,39,2.6,6.9
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,All Procedures,2899,1613,7,37
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Aortic Aneurysm Repair,6,20,4.6,11.2
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Biopsy in OR,<5,<5,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Bladder Surgery,65,48,12.9,44.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Bowel Resection,10,18,2.9,6.1
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Breast Biopsy,16,48,3.5,6.7
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Breast Reconstruction,14,16,14.5,28.1
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Breast Reduction,117,56,11.4,37.2
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Cholecystectomy,49,58,4.4,15.7
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Colostomy/Ileostomy,<5,<5,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Cone Biopsy,<5,0,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Cyst/Ganglion Removal,<5,<5,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,D&C and Related Surgery,51,42,12.1,31.9
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Dental Surgery,62,38,8.2,21.4
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Endarterectomy,15,38,1.4,6.1
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Examination Under Anaesthetic,<5,13,6.9,18.5
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Excision Gynecomastia,8,<5,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Excision Lesion/Tumour,57,17,8.6,32.5
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Facial Bone Reconstruction,5,6,12,15.5
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fallopian Tube/Ovarian Surgery,104,27,25,36.8
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fistula Repair - Non Vascular,<5,<5,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Foot/Ankle Surgery,44,21,36,41.7
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fracture Repair,6,28,0.3,3.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hand/Wrist Surgery,14,14,6,15.2
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hernia Repair - Abdominal,137,126,5,19.4
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hip Replacement,142,43,30.3,56.1
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee - ACL Repair,<5,<5,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee - Meniscectomy,<5,<5,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee Arthroscopy,<5,<5,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee Replacement,383,57,41.9,57.3
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Laparoscopy,16,18,5.9,32.1
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Laparotomy,<5,<5,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Ligament Surgery,8,7,5.1,26.3
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Male Reproductive Surgery,53,21,20.3,45
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Mastectomy,9,42,2.7,4.4
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Myringotomy,<5,17,4,13.4
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Nasal Surgery,178,56,22.1,33.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Eye Surgery,<5,<5,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Joint Reconstruction,55,9,8.3,25.8
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Orthopaedic Surgery,35,31,3,37.4
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Urology Surgery,64,59,4.4,30.8
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Parotidectomy,<5,<5,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Prostate Surgery,120,65,9.9,18.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Rectal Surgery,16,7,3.4,10.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Shoulder Surgery,45,26,13.6,30.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Sinus Surgery,25,11,10.9,28
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Skin Surgery,24,21,4,27
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Skin Tumour Removal,35,28,4.9,20.3
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Sphincterotomy,<5,<5,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Tendon Surgery,5,9,0.7,15.9
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Thyroidectomy,5,17,5,8
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Tonsillectomy/Adenoidectomy,95,23,15.1,36.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Uterine Surgery,318,219,22.6,48.5
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Vaginal Repair,35,10,26.9,28.8
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Varicose Veins Ligation/Stripping,318,34,44.9,71.2
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Vascular Bypass Graft - Non Cardiac,10,33,2.1,9.3
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Vascular Surgery - Other,32,19,5,21.1
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Wound/Laceration Care,14,11,3.3,31.3
2025/26,Q1,Fraser,All Facilities,Abdominoplasty,33,18,12.1,35.7
2025/26,Q1,Fraser,All Facilities,All Other Procedures,321,366,3.9,21.7
2025/26,Q1,Fraser,All Facilities,All Procedures,22865,20817,5.1,28.6
2025/26,Q1,Fraser,All Facilities,Aortic Aneurysm Repair,20,53,4.3,11.6
2025/26,Q1,Fraser,All Facilities,Appendectomy,23,38,4.4,13.1
2025/26,Q1,Fraser,All Facilities,Bariatric Surgery,5,<5,,
2025/26,Q1,Fraser,All Facilities,Biopsy in OR,29,93,2,5.1
2025/26,Q1,Fraser,All Facilities,Bladder Surgery,365,475,4.1,16.7
2025/26,Q1,Fraser,All Facilities,Bowel Resection,78,162,2.9,9.3
2025/26,Q1,Fraser,All Facilities,Breast Biopsy,57,169,2.9,6.7
2025/26,Q1,Fraser,All Facilities,Breast Reconstruction,102,124,3.1,25.9
2025/26,Q1,Fraser,All Facilities,Breast Reduction,727,310,8.1,49.3
2025/26,Q1,Fraser,All Facilities,Cataract Surgery,3778,6515,4.4,14.6
2025/26,Q1,Fraser,All Facilities,Cholecystectomy,452,590,4.7,19.3
2025/26,Q1,Fraser,All Facilities,Colostomy/Ileostomy,29,39,4.7,22
2025/26,Q1,Fraser,All Facilities,Cone Biopsy,7,21,3.9,10.7
2025/26,Q1,Fraser,All Facilities,Cranial Surgery,19,39,1.9,6.1
2025/26,Q1,Fraser,All Facilities,Cyst/Ganglion Removal,20,24,5,17.8
2025/26,Q1,Fraser,All Facilities,D&C and Related Surgery,488,638,4.9,19.6
2025/26,Q1,Fraser,All Facilities,Dental Surgery,305,223,11.1,32.8
2025/26,Q1,Fraser,All Facilities,Endarterectomy,29,69,2,6.8
2025/26,Q1,Fraser,All Facilities,Esophagectomy,<5,11,2.3,5.6
2025/26,Q1,Fraser,All Facilities,Examination Under Anaesthetic,129,140,5,19.9
2025/26,Q1,Fraser,All Facilities,Excision Gynecomastia,20,13,16.9,37.6
2025/26,Q1,Fraser,All Facilities,Excision Lesion/Tumour,182,177,3.4,14.4
2025/26,Q1,Fraser,All Facilities,Facial Bone Reconstruction,37,37,7.1,20
2025/26,Q1,Fraser,All Facilities,Fallopian Tube/Ovarian Surgery,375,290,9,34.1
2025/26,Q1,Fraser,All Facilities,Fistula Repair - Non Vascular,81,78,6.9,38.7
2025/26,Q1,Fraser,All Facilities,Foot/Ankle Surgery,141,59,26.3,40.3
2025/26,Q1,Fraser,All Facilities,Foreign Body Removal Surgery,8,9,1.1,3.3
2025/26,Q1,Fraser,All Facilities,Fracture Repair,44,146,0.4,4.4
2025/26,Q1,Fraser,All Facilities,Free Flap Graft,<5,7,0.6,19.5
2025/26,Q1,Fraser,All Facilities,Hand/Wrist Surgery,117,146,5.4,26.6
2025/26,Q1,Fraser,All Facilities,Hernia Repair - Abdominal,1131,1142,7.1,25.9
2025/26,Q1,Fraser,All Facilities,Hernia Repair - Hiatal,<5,27,1.7,3.1
2025/26,Q1,Fraser,All Facilities,Hip Replacement,1282,436,25,57.2
2025/26,Q1,Fraser,All Facilities,Kidney/Bladder Stone Removal,85,139,4.4,8.3
2025/26,Q1,Fraser,All Facilities,Knee - ACL Repair,193,157,6.3,23.5
2025/26,Q1,Fraser,All Facilities,Knee - Meniscectomy,88,90,9.1,30.9
2025/26,Q1,Fraser,All Facilities,Knee Arthroscopy,181,109,6.3,26.3
2025/26,Q1,Fraser,All Facilities,Knee Replacement,2945,879,28.6,53.9
2025/26,Q1,Fraser,All Facilities,Laparoscopy,68,70,5.1,27.5
2025/26,Q1,Fraser,All Facilities,Laparotomy,15,15,7,22
2025/26,Q1,Fraser,All Facilities,Lens & Vitreous (non-cataract) Surgery,541,234,13.3,42.9
2025/26,Q1,Fraser,All Facilities,Ligament Surgery,22,34,4.4,33.5
2025/26,Q1,Fraser,All Facilities,Lipectomy,<5,0,,
2025/26,Q1,Fraser,All Facilities,Lung Surgery,11,52,1.6,3
2025/26,Q1,Fraser,All Facilities,Male Reproductive Surgery,159,132,5.1,24.8
2025/26,Q1,Fraser,All Facilities,Mastectomy,81,272,2.7,4.8
2025/26,Q1,Fraser,All Facilities,Mastoidectomy,63,12,46.4,97.5
2025/26,Q1,Fraser,All Facilities,Myringotomy,196,102,9,34.8
2025/26,Q1,Fraser,All Facilities,Nasal Surgery,1299,392,26.8,58.3
2025/26,Q1,Fraser,All Facilities,Nerve Surgery,33,44,3.9,14.9
2025/26,Q1,Fraser,All Facilities,Oral Cavity & Pharynx Surgery,14,7,4.3,11
2025/26,Q1,Fraser,All Facilities,Other Ear Surgery,16,15,8.4,44.8
2025/26,Q1,Fraser,All Facilities,Other Eye Surgery,299,407,2.7,21.6
2025/26,Q1,Fraser,All Facilities,Other Joint Reconstruction,226,131,7.6,34.9
2025/26,Q1,Fraser,All Facilities,Other Orthopaedic Surgery,335,337,4,31.1
2025/26,Q1,Fraser,All Facilities,Other Urology Surgery,282,579,4,10.9
2025/26,Q1,Fraser,All Facilities,Parotidectomy,52,24,6,34.9
2025/26,Q1,Fraser,All Facilities,Prostate Surgery,318,448,5.3,15.6
2025/26,Q1,Fraser,All Facilities,Rectal Surgery,162,190,4.6,26.6
2025/26,Q1,Fraser,All Facilities,Rib Resection,26,5,8.1,19.7
2025/26,Q1,Fraser,All Facilities,Scope of Chest,<5,10,1.4,5.6
2025/26,Q1,Fraser,All Facilities,Shoulder Surgery,283,245,5.9,23.9
2025/26,Q1,Fraser,All Facilities,Sinus Surgery,398,136,24.1,59.7
2025/26,Q1,Fraser,All Facilities,Skin Surgery,65,58,2.3,15.9
2025/26,Q1,Fraser,All Facilities,Skin Tumour Removal,245,377,2.9,17
2025/26,Q1,Fraser,All Facilities,Sphincterotomy,12,10,7.9,42.1
2025/26,Q1,Fraser,All Facilities,Spinal/Back Surgery,282,161,4.4,15
2025/26,Q1,Fraser,All Facilities,Tendon Surgery,49,67,2.1,15.3
2025/26,Q1,Fraser,All Facilities,Thyroidectomy,113,115,4.3,21.7
2025/26,Q1,Fraser,All Facilities,Tonsillectomy/Adenoidectomy,674,244,17.1,45.1
2025/26,Q1,Fraser,All Facilities,Tympanoplasty,159,48,38.5,90.5
2025/26,Q1,Fraser,All Facilities,Uterine Surgery,1388,1251,12.3,38.1
2025/26,Q1,Fraser,All Facilities,Vaginal Repair,259,135,15.6,35.3
2025/26,Q1,Fraser,All Facilities,Varicose Veins Ligation/Stripping,545,121,11.7,62.9
2025/26,Q1,Fraser,All Facilities,Vascular Bypass Graft - Non Cardiac,17,40,2.2,14.3
2025/26,Q1,Fraser,All Facilities,Vascular Surgery - Other,77,97,3.6,14.3
2025/26,Q1,Fraser,All Facilities,Wound/Laceration Care,139,128,5.5,23
2025/26,Q1,Fraser,Burnaby Hospital,All Other Procedures,63,52,6.7,43.4
2025/26,Q1,Fraser,Burnaby Hospital,All Procedures,3653,2369,7.9,45.4
2025/26,Q1,Fraser,Burnaby Hospital,Appendectomy,7,<5,,
2025/26,Q1,Fraser,Burnaby Hospital,Bariatric Surgery,5,<5,,
2025/26,Q1,Fraser,Burnaby Hospital,Biopsy in OR,<5,<5,,
2025/26,Q1,Fraser,Burnaby Hospital,Bladder Surgery,38,72,3,11.5
2025/26,Q1,Fraser,Burnaby Hospital,Bowel Resection,13,14,3.5,7.9
2025/26,Q1,Fraser,Burnaby Hospital,Breast Reconstruction,18,7,14.9,38.8
2025/26,Q1,Fraser,Burnaby Hospital,Breast Reduction,138,35,37.7,79.4
2025/26,Q1,Fraser,Burnaby Hospital,Cataract Surgery,462,720,6,14
2025/26,Q1,Fraser,Burnaby Hospital,Cholecystectomy,102,52,13.1,39.7
2025/26,Q1,Fraser,Burnaby Hospital,Colostomy/Ileostomy,<5,5,2.7,10.4
2025/26,Q1,Fraser,Burnaby Hospital,Cyst/Ganglion Removal,<5,5,9.6,44.7
2025/26,Q1,Fraser,Burnaby Hospital,D&C and Related Surgery,57,74,4.7,22.6
2025/26,Q1,Fraser,Burnaby Hospital,Dental Surgery,<5,0,,
2025/26,Q1,Fraser,Burnaby Hospital,Examination Under Anaesthetic,9,<5,,
2025/26,Q1,Fraser,Burnaby Hospital,Excision Gynecomastia,5,<5,,
2025/26,Q1,Fraser,Burnaby Hospital,Excision Lesion/Tumour,16,13,4.1,28.2
2025/26,Q1,Fraser,Burnaby Hospital,Fallopian Tube/Ovarian Surgery,27,36,4.6,31.7
2025/26,Q1,Fraser,Burnaby Hospital,Fistula Repair - Non Vascular,22,29,13.3,32
2025/26,Q1,Fraser,Burnaby Hospital,Foot/Ankle Surgery,<5,6,3.6,4.7
2025/26,Q1,Fraser,Burnaby Hospital,Foreign Body Removal Surgery,<5,0,,
2025/26,Q1,Fraser,Burnaby Hospital,Fracture Repair,<5,5,0.9,8.3
2025/26,Q1,Fraser,Burnaby Hospital,Hand/Wrist Surgery,15,12,28,61.2
2025/26,Q1,Fraser,Burnaby Hospital,Hernia Repair - Abdominal,235,153,18,41.9
2025/26,Q1,Fraser,Burnaby Hospital,Hernia Repair - Hiatal,<5,0,,
2025/26,Q1,Fraser,Burnaby Hospital,Hip Replacement,320,69,39.7,64.2
2025/26,Q1,Fraser,Burnaby Hospital,Kidney/Bladder Stone Removal,10,23,4.4,7.7
2025/26,Q1,Fraser,Burnaby Hospital,Knee - ACL Repair,14,12,6.5,11.1
2025/26,Q1,Fraser,Burnaby Hospital,Knee - Meniscectomy,17,25,7.9,18
2025/26,Q1,Fraser,Burnaby Hospital,Knee Arthroscopy,15,<5,,
2025/26,Q1,Fraser,Burnaby Hospital,Knee Replacement,641,170,29.4,59.6
2025/26,Q1,Fraser,Burnaby Hospital,Laparoscopy,<5,<5,,
2025/26,Q1,Fraser,Burnaby Hospital,Laparotomy,<5,<5,,
2025/26,Q1,Fraser,Burnaby Hospital,Lens & Vitreous (non-cataract) Surgery,5,7,3,23.4
2025/26,Q1,Fraser,Burnaby Hospital,Ligament Surgery,<5,0,,
2025/26,Q1,Fraser,Burnaby Hospital,Lipectomy,<5,0,,
2025/26,Q1,Fraser,Burnaby Hospital,Male Reproductive Surgery,<5,15,3.7,8.4
2025/26,Q1,Fraser,Burnaby Hospital,Mastectomy,5,8,4.3,7.7
2025/26,Q1,Fraser,Burnaby Hospital,Myringotomy,<5,<5,,
2025/26,Q1,Fraser,Burnaby Hospital,Nasal Surgery,549,128,38.6,81.8
2025/26,Q1,Fraser,Burnaby Hospital,Nerve Surgery,9,7,6.4,17.3
2025/26,Q1,Fraser,Burnaby Hospital,Oral Cavity & Pharynx Surgery,5,0,,
2025/26,Q1,Fraser,Burnaby Hospital,Other Eye Surgery,94,68,4.9,38.1
2025/26,Q1,Fraser,Burnaby Hospital,Other Joint Reconstruction,8,21,5,12.4
2025/26,Q1,Fraser,Burnaby Hospital,Other Orthopaedic Surgery,22,38,5.3,17.5
2025/26,Q1,Fraser,Burnaby Hospital,Other Urology Surgery,19,63,3.6,6.6
2025/26,Q1,Fraser,Burnaby Hospital,Parotidectomy,25,<5,,
2025/26,Q1,Fraser,Burnaby Hospital,Prostate Surgery,34,80,4,17.1
2025/26,Q1,Fraser,Burnaby Hospital,Rectal Surgery,39,28,17.2,43.5
2025/26,Q1,Fraser,Burnaby Hospital,Shoulder Surgery,24,34,6.9,18.2
2025/26,Q1,Fraser,Burnaby Hospital,Sinus Surgery,244,58,37.2,72.6
2025/26,Q1,Fraser,Burnaby Hospital,Skin Surgery,8,<5,,
2025/26,Q1,Fraser,Burnaby Hospital,Skin Tumour Removal,17,19,3.4,44
2025/26,Q1,Fraser,Burnaby Hospital,Tendon Surgery,<5,7,2.9,5.6
2025/26,Q1,Fraser,Burnaby Hospital,Thyroidectomy,50,22,3.7,29.3
2025/26,Q1,Fraser,Burnaby Hospital,Tonsillectomy/Adenoidectomy,35,16,9.6,57.1
2025/26,Q1,Fraser,Burnaby Hospital,Tympanoplasty,13,<5,,
2025/26,Q1,Fraser,Burnaby Hospital,Uterine Surgery,111,108,15.4,53
2025/26,Q1,Fraser,Burnaby Hospital,Vaginal Repair,25,14,25.9,70.5
2025/26,Q1,Fraser,Burnaby Hospital,Wound/Laceration Care,29,7,9.7,12
2025/26,Q1,Fraser,Chilliwack General Hospital,All Other Procedures,<5,12,4.4,17.8
2025/26,Q1,Fraser,Chilliwack General Hospital,All Procedures,1467,2040,4.9,19.4
2025/26,Q1,Fraser,Chilliwack General Hospital,Appendectomy,<5,5,3.4,12.4
2025/26,Q1,Fraser,Chilliwack General Hospital,Biopsy in OR,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Bladder Surgery,18,38,4,7.6
2025/26,Q1,Fraser,Chilliwack General Hospital,Bowel Resection,7,7,3.1,6.3
2025/26,Q1,Fraser,Chilliwack General Hospital,Breast Biopsy,6,6,2.5,7.1
2025/26,Q1,Fraser,Chilliwack General Hospital,Breast Reconstruction,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Cataract Surgery,761,1245,4.9,13
2025/26,Q1,Fraser,Chilliwack General Hospital,Cholecystectomy,28,63,4.9,10.9
2025/26,Q1,Fraser,Chilliwack General Hospital,Colostomy/Ileostomy,<5,8,4.9,11.5
